prompt_index,image_path,hps_score
1,../HiDream-I1/output/full/image_1.png,0.2982368
1,../HiDream-I1/output/full/image_2.png,0.28391457
1,../HiDream-I1/output/full/image_3.png,0.28251797
1,../HiDream-I1/output/full/image_4.png,0.27884564
2,../HiDream-I1/output/full/image_5.png,0.3308113
2,../HiDream-I1/output/full/image_6.png,0.32106036
2,../HiDream-I1/output/full/image_7.png,0.3508326
2,../HiDream-I1/output/full/image_8.png,0.33962664
3,../HiDream-I1/output/full/image_9.png,0.28929114
3,../HiDream-I1/output/full/image_10.png,0.2892161
3,../HiDream-I1/output/full/image_11.png,0.29863968
3,../HiDream-I1/output/full/image_12.png,0.2852028
4,../HiDream-I1/output/full/image_13.png,0.25262776
4,../HiDream-I1/output/full/image_14.png,0.26377827
4,../HiDream-I1/output/full/image_15.png,0.24591096
4,../HiDream-I1/output/full/image_16.png,0.24936761
5,../HiDream-I1/output/full/image_17.png,0.2448574
5,../HiDream-I1/output/full/image_18.png,0.24781325
5,../HiDream-I1/output/full/image_19.png,0.27924028
5,../HiDream-I1/output/full/image_20.png,0.26803857
6,../HiDream-I1/output/full/image_21.png,0.2847781
6,../HiDream-I1/output/full/image_22.png,0.2450372
6,../HiDream-I1/output/full/image_23.png,0.2843731
6,../HiDream-I1/output/full/image_24.png,0.29153022
7,../HiDream-I1/output/full/image_25.png,0.29877934
7,../HiDream-I1/output/full/image_26.png,0.2867477
7,../HiDream-I1/output/full/image_27.png,0.28468028
7,../HiDream-I1/output/full/image_28.png,0.2931672
8,../HiDream-I1/output/full/image_29.png,0.28507677
8,../HiDream-I1/output/full/image_30.png,0.28352535
8,../HiDream-I1/output/full/image_31.png,0.27981862
8,../HiDream-I1/output/full/image_32.png,0.27723837
9,../HiDream-I1/output/full/image_33.png,0.29574502
9,../HiDream-I1/output/full/image_34.png,0.28590602
9,../HiDream-I1/output/full/image_35.png,0.29297692
9,../HiDream-I1/output/full/image_36.png,0.2892352
10,../HiDream-I1/output/full/image_37.png,0.2982368
10,../HiDream-I1/output/full/image_38.png,0.28391457
10,../HiDream-I1/output/full/image_39.png,0.28251797
10,../HiDream-I1/output/full/image_40.png,0.27884564
11,../HiDream-I1/output/full/image_41.png,0.33699453
11,../HiDream-I1/output/full/image_42.png,0.3369875
11,../HiDream-I1/output/full/image_43.png,0.329496
11,../HiDream-I1/output/full/image_44.png,0.33543116
12,../HiDream-I1/output/full/image_45.png,0.32343337
12,../HiDream-I1/output/full/image_46.png,0.3353397
12,../HiDream-I1/output/full/image_47.png,0.32817936
12,../HiDream-I1/output/full/image_48.png,0.32738677
13,../HiDream-I1/output/full/image_49.png,0.32718405
13,../HiDream-I1/output/full/image_50.png,0.3339681
13,../HiDream-I1/output/full/image_51.png,0.31915653
13,../HiDream-I1/output/full/image_52.png,0.33669192
14,../HiDream-I1/output/full/image_53.png,0.35429806
14,../HiDream-I1/output/full/image_54.png,0.36067036
14,../HiDream-I1/output/full/image_55.png,0.35019714
14,../HiDream-I1/output/full/image_56.png,0.36018476
15,../HiDream-I1/output/full/image_57.png,0.34165397
15,../HiDream-I1/output/full/image_58.png,0.33954257
15,../HiDream-I1/output/full/image_59.png,0.34483486
15,../HiDream-I1/output/full/image_60.png,0.3545269
16,../HiDream-I1/output/full/image_61.png,0.34576675
16,../HiDream-I1/output/full/image_62.png,0.32717484
16,../HiDream-I1/output/full/image_63.png,0.34926474
16,../HiDream-I1/output/full/image_64.png,0.33951232
17,../HiDream-I1/output/full/image_65.png,0.3177094
17,../HiDream-I1/output/full/image_66.png,0.30892769
17,../HiDream-I1/output/full/image_67.png,0.32574534
17,../HiDream-I1/output/full/image_68.png,0.33293697
18,../HiDream-I1/output/full/image_69.png,0.32751405
18,../HiDream-I1/output/full/image_70.png,0.32449806
18,../HiDream-I1/output/full/image_71.png,0.32499707
18,../HiDream-I1/output/full/image_72.png,0.31434804
19,../HiDream-I1/output/full/image_73.png,0.26253507
19,../HiDream-I1/output/full/image_74.png,0.19981039
19,../HiDream-I1/output/full/image_75.png,0.2575361
19,../HiDream-I1/output/full/image_76.png,0.24825996
20,../HiDream-I1/output/full/image_77.png,0.2653911
20,../HiDream-I1/output/full/image_78.png,0.2576473
20,../HiDream-I1/output/full/image_79.png,0.25209284
20,../HiDream-I1/output/full/image_80.png,0.25678706
21,../HiDream-I1/output/full/image_81.png,0.31276652
21,../HiDream-I1/output/full/image_82.png,0.3117328
21,../HiDream-I1/output/full/image_83.png,0.31863502
21,../HiDream-I1/output/full/image_84.png,0.30785668
22,../HiDream-I1/output/full/image_85.png,0.33772275
22,../HiDream-I1/output/full/image_86.png,0.3115408
22,../HiDream-I1/output/full/image_87.png,0.30898547
22,../HiDream-I1/output/full/image_88.png,0.34032407
23,../HiDream-I1/output/full/image_89.png,0.32583904
23,../HiDream-I1/output/full/image_90.png,0.31049082
23,../HiDream-I1/output/full/image_91.png,0.2980495
23,../HiDream-I1/output/full/image_92.png,0.32285303
24,../HiDream-I1/output/full/image_93.png,0.2366758
24,../HiDream-I1/output/full/image_94.png,0.24575995
24,../HiDream-I1/output/full/image_95.png,0.2814048
24,../HiDream-I1/output/full/image_96.png,0.27344325
25,../HiDream-I1/output/full/image_97.png,0.29783672
25,../HiDream-I1/output/full/image_98.png,0.29464722
25,../HiDream-I1/output/full/image_99.png,0.292352
25,../HiDream-I1/output/full/image_100.png,0.3058285
26,../HiDream-I1/output/full/image_101.png,0.33743775
26,../HiDream-I1/output/full/image_102.png,0.3421423
26,../HiDream-I1/output/full/image_103.png,0.34521154
26,../HiDream-I1/output/full/image_104.png,0.35128918
27,../HiDream-I1/output/full/image_105.png,0.33523902
27,../HiDream-I1/output/full/image_106.png,0.33275786
27,../HiDream-I1/output/full/image_107.png,0.33900952
27,../HiDream-I1/output/full/image_108.png,0.3284514
28,../HiDream-I1/output/full/image_109.png,0.3273395
28,../HiDream-I1/output/full/image_110.png,0.3313457
28,../HiDream-I1/output/full/image_111.png,0.3245902
28,../HiDream-I1/output/full/image_112.png,0.32787046
29,../HiDream-I1/output/full/image_113.png,0.316571
29,../HiDream-I1/output/full/image_114.png,0.31394798
29,../HiDream-I1/output/full/image_115.png,0.31571928
29,../HiDream-I1/output/full/image_116.png,0.27913275
30,../HiDream-I1/output/full/image_117.png,0.34043795
30,../HiDream-I1/output/full/image_118.png,0.3479442
30,../HiDream-I1/output/full/image_119.png,0.35276455
30,../HiDream-I1/output/full/image_120.png,0.348776
31,../HiDream-I1/output/full/image_121.png,0.27231827
31,../HiDream-I1/output/full/image_122.png,0.28540826
31,../HiDream-I1/output/full/image_123.png,0.2810989
31,../HiDream-I1/output/full/image_124.png,0.28463355
32,../HiDream-I1/output/full/image_125.png,0.26283905
32,../HiDream-I1/output/full/image_126.png,0.25993142
32,../HiDream-I1/output/full/image_127.png,0.24427493
32,../HiDream-I1/output/full/image_128.png,0.26984328
33,../HiDream-I1/output/full/image_129.png,0.29127616
33,../HiDream-I1/output/full/image_130.png,0.29740232
33,../HiDream-I1/output/full/image_131.png,0.29516843
33,../HiDream-I1/output/full/image_132.png,0.28990728
34,../HiDream-I1/output/full/image_133.png,0.27870107
34,../HiDream-I1/output/full/image_134.png,0.2963531
34,../HiDream-I1/output/full/image_135.png,0.30904418
34,../HiDream-I1/output/full/image_136.png,0.3066649
35,../HiDream-I1/output/full/image_137.png,0.28081512
35,../HiDream-I1/output/full/image_138.png,0.28175235
35,../HiDream-I1/output/full/image_139.png,0.29945374
35,../HiDream-I1/output/full/image_140.png,0.2857197
36,../HiDream-I1/output/full/image_141.png,0.32056466
36,../HiDream-I1/output/full/image_142.png,0.3043328
36,../HiDream-I1/output/full/image_143.png,0.3102584
36,../HiDream-I1/output/full/image_144.png,0.32090423
37,../HiDream-I1/output/full/image_145.png,0.3293315
37,../HiDream-I1/output/full/image_146.png,0.3018344
37,../HiDream-I1/output/full/image_147.png,0.31802964
37,../HiDream-I1/output/full/image_148.png,0.31795144
38,../HiDream-I1/output/full/image_149.png,0.23377949
38,../HiDream-I1/output/full/image_150.png,0.22408499
38,../HiDream-I1/output/full/image_151.png,0.23092264
38,../HiDream-I1/output/full/image_152.png,0.23942918
39,../HiDream-I1/output/full/image_153.png,0.23852575
39,../HiDream-I1/output/full/image_154.png,0.26642132
39,../HiDream-I1/output/full/image_155.png,0.26239094
39,../HiDream-I1/output/full/image_156.png,0.26018968
40,../HiDream-I1/output/full/image_157.png,0.21659054
40,../HiDream-I1/output/full/image_158.png,0.2143542
40,../HiDream-I1/output/full/image_159.png,0.20166306
40,../HiDream-I1/output/full/image_160.png,0.20963004
41,../HiDream-I1/output/full/image_161.png,0.30236033
41,../HiDream-I1/output/full/image_162.png,0.30118245
41,../HiDream-I1/output/full/image_163.png,0.32497838
41,../HiDream-I1/output/full/image_164.png,0.31187025
42,../HiDream-I1/output/full/image_165.png,0.29155734
42,../HiDream-I1/output/full/image_166.png,0.3202464
42,../HiDream-I1/output/full/image_167.png,0.30915847
42,../HiDream-I1/output/full/image_168.png,0.3000614
43,../HiDream-I1/output/full/image_169.png,0.29507613
43,../HiDream-I1/output/full/image_170.png,0.35267523
43,../HiDream-I1/output/full/image_171.png,0.3215504
43,../HiDream-I1/output/full/image_172.png,0.32876834
44,../HiDream-I1/output/full/image_173.png,0.31097007
44,../HiDream-I1/output/full/image_174.png,0.31648135
44,../HiDream-I1/output/full/image_175.png,0.31501985
44,../HiDream-I1/output/full/image_176.png,0.32829553
45,../HiDream-I1/output/full/image_177.png,0.29749906
45,../HiDream-I1/output/full/image_178.png,0.28409863
45,../HiDream-I1/output/full/image_179.png,0.2795867
45,../HiDream-I1/output/full/image_180.png,0.2984043
46,../HiDream-I1/output/full/image_181.png,0.3233487
46,../HiDream-I1/output/full/image_182.png,0.3290036
46,../HiDream-I1/output/full/image_183.png,0.34201756
46,../HiDream-I1/output/full/image_184.png,0.3459187
47,../HiDream-I1/output/full/image_185.png,0.3316923
47,../HiDream-I1/output/full/image_186.png,0.3218393
47,../HiDream-I1/output/full/image_187.png,0.33476058
47,../HiDream-I1/output/full/image_188.png,0.33300796
48,../HiDream-I1/output/full/image_189.png,0.37866452
48,../HiDream-I1/output/full/image_190.png,0.37560427
48,../HiDream-I1/output/full/image_191.png,0.37700772
48,../HiDream-I1/output/full/image_192.png,0.3738894
49,../HiDream-I1/output/full/image_193.png,0.3475928
49,../HiDream-I1/output/full/image_194.png,0.33496526
49,../HiDream-I1/output/full/image_195.png,0.3511075
49,../HiDream-I1/output/full/image_196.png,0.35507083
50,../HiDream-I1/output/full/image_197.png,0.33028924
50,../HiDream-I1/output/full/image_198.png,0.35098118
50,../HiDream-I1/output/full/image_199.png,0.3269631
50,../HiDream-I1/output/full/image_200.png,0.3426187
51,../HiDream-I1/output/full/image_201.png,0.3870652
51,../HiDream-I1/output/full/image_202.png,0.38721153
51,../HiDream-I1/output/full/image_203.png,0.37609017
51,../HiDream-I1/output/full/image_204.png,0.37970492
52,../HiDream-I1/output/full/image_205.png,0.31912804
52,../HiDream-I1/output/full/image_206.png,0.28870574
52,../HiDream-I1/output/full/image_207.png,0.32051405
52,../HiDream-I1/output/full/image_208.png,0.3139368
53,../HiDream-I1/output/full/image_209.png,0.30043784
53,../HiDream-I1/output/full/image_210.png,0.29140124
53,../HiDream-I1/output/full/image_211.png,0.2961424
53,../HiDream-I1/output/full/image_212.png,0.2973142
54,../HiDream-I1/output/full/image_213.png,0.29899
54,../HiDream-I1/output/full/image_214.png,0.3163934
54,../HiDream-I1/output/full/image_215.png,0.31309545
54,../HiDream-I1/output/full/image_216.png,0.29787135
55,../HiDream-I1/output/full/image_217.png,0.35950583
55,../HiDream-I1/output/full/image_218.png,0.34416837
55,../HiDream-I1/output/full/image_219.png,0.35582078
55,../HiDream-I1/output/full/image_220.png,0.34908515
56,../HiDream-I1/output/full/image_221.png,0.31941926
56,../HiDream-I1/output/full/image_222.png,0.33184248
56,../HiDream-I1/output/full/image_223.png,0.34527242
56,../HiDream-I1/output/full/image_224.png,0.29577807
57,../HiDream-I1/output/full/image_225.png,0.2923833
57,../HiDream-I1/output/full/image_226.png,0.2978487
57,../HiDream-I1/output/full/image_227.png,0.288899
57,../HiDream-I1/output/full/image_228.png,0.28682053
58,../HiDream-I1/output/full/image_229.png,0.33721218
58,../HiDream-I1/output/full/image_230.png,0.31289318
58,../HiDream-I1/output/full/image_231.png,0.32657635
58,../HiDream-I1/output/full/image_232.png,0.32227054
59,../HiDream-I1/output/full/image_233.png,0.36055088
59,../HiDream-I1/output/full/image_234.png,0.35552302
